Date,Temperature in degree celcius,Humidity in percent,Lux,Soil moisture
Mon Jun  1 17:00:02 2020 , 29.8 , 29.2 , 116 , 311
Mon Jun  1 17:30:02 2020 , 28.8 , 28.9 , 44 , 303
Mon Jun  1 18:00:02 2020 , 28.3 , 30.7 , 72 , 223
Mon Jun  1 18:30:02 2020 , 27.3 , 33.5 , 52 , 237
Mon Jun  1 19:00:02 2020 , 26.7 , 33.9 , 15 , 247
Mon Jun  1 19:30:02 2020 , 25.7 , 36.2 , 7 , 240
Mon Jun  1 20:00:02 2020 , 24.7 , 41.5 , 7 , 252
Mon Jun  1 20:30:02 2020 , 24.0 , 42.7 , 1 , 252
Mon Jun  1 21:00:02 2020 , 22.7 , 46.6 , 0 , 251
Mon Jun  1 21:30:02 2020 , 21.7 , 47.8 , 0 , 250
Mon Jun  1 22:00:02 2020 , 21.1 , 48.9 , 0 , 249
Mon Jun  1 22:30:02 2020 , 20.6 , 48.7 , 0 , 251
Mon Jun  1 23:00:02 2020 , 20.3 , 46.3 , 0 , 246
Mon Jun  1 23:30:02 2020 , 19.9 , 46.0 , 0 , 250
Tue Jun  2 00:00:02 2020 , 19.5 , 44.1 , 0 , 250
Tue Jun  2 00:30:01 2020 , 19.2 , 44.1 , 0 , 247
Tue Jun  2 01:00:01 2020 , 18.9 , 46.8 , 0 , 248
Tue Jun  2 01:30:04 2020 , 18.2 , 51.9 , 0 , 248
Tue Jun  2 02:00:02 2020 , 18.2 , 51.9 , 0 , 244
Tue Jun  2 02:30:02 2020 , 17.4 , 54.6 , 0 , 243
Tue Jun  2 03:00:02 2020 , 17.0 , 56.4 , 0 , 242
Tue Jun  2 03:30:02 2020 , 16.7 , 56.7 , 0 , 241
Tue Jun  2 04:00:02 2020 , 16.5 , 58.8 , 0 , 241
Tue Jun  2 04:30:02 2020 , 16.4 , 56.3 , 4 , 238
Tue Jun  2 05:00:02 2020 , 16.2 , 58.6 , 17 , 234
Tue Jun  2 05:30:02 2020 , 16.0 , 59.4 , 27 , 238
Tue Jun  2 06:00:05 2020 , 15.9 , 64.6 , 32 , 235
Tue Jun  2 06:30:02 2020 , 15.9 , 64.7 , 34 , 236
Tue Jun  2 07:00:02 2020 , 16.3 , 64.1 , 38 , 238
Tue Jun  2 07:30:02 2020 , 16.7 , 67.2 , 38 , 242
Tue Jun  2 08:00:02 2020 , 17.2 , 65.7 , 47 , 244
Tue Jun  2 08:30:02 2020 , 18.3 , 60.6 , 49 , 247
Tue Jun  2 09:00:01 2020 , 19.4 , 58.6 , 53 , 255
Tue Jun  2 09:30:02 2020 , 20.2 , 54.9 , 58 , 254
Tue Jun  2 10:00:02 2020 , 20.8 , 51.9 , 62 , 259
Tue Jun  2 10:30:02 2020 , 21.7 , 49.9 , 78 , 261
Tue Jun  2 11:00:02 2020 , 22.6 , 42.6 , 48 , 271
Tue Jun  2 11:30:02 2020 , 23.4 , 42.1 , 53 , 270
Tue Jun  2 12:00:02 2020 , 23.9 , 41.5 , 66 , 271
Tue Jun  2 12:30:02 2020 , 24.7 , 41.6 , 75 , 274
Tue Jun  2 13:00:04 2020 , 25.7 , 37.5 , 90 , 274
Tue Jun  2 13:30:02 2020 , 25.8 , 37.3 , 91 , 275
Tue Jun  2 14:00:01 2020 , 26.1 , 35.1 , 95 , 280
Tue Jun  2 14:30:02 2020 , 26.7 , 37.8 , 99 , 281
Tue Jun  2 15:00:02 2020 , 27.1 , 35.8 , 116 , 284
Tue Jun  2 15:30:02 2020 , 27.1 , 35.8 , 106 , 281
Tue Jun  2 16:00:02 2020 , 26.6 , 35.3 , 165 , 290
Tue Jun  2 16:30:02 2020 , 27.8 , 34.8 , 138 , 289
Tue Jun  2 17:00:02 2020 , 28.6 , 32.7 , 107 , 293
Tue Jun  2 17:30:02 2020 , 28.6 , 32.3 , 85 , 292
Tue Jun  2 18:00:02 2020 , 28.5 , 30.5 , 52 , 296
Tue Jun  2 18:30:02 2020 , 27.6 , 35.8 , 33 , 291
Tue Jun  2 19:00:02 2020 , 26.9 , 36.2 , 15 , 289
